country,country_code_m49,year,month,temp_change_c
Argentina,032,2020,4,1.291
Argentina,032,2021,4,2.413
Argentina,032,2022,4,0.306
Argentina,032,2023,4,1.259
Argentina,032,2024,4,0.837
Argentina,032,2025,4,0.09
Argentina,032,2020,5,0.737
Argentina,032,2021,5,0.04
Argentina,032,2022,5,-1.021
Argentina,032,2023,5,1.476
Argentina,032,2024,5,-2.645
Argentina,032,2025,5,1.499
Argentina,032,2020,6,0.933
Argentina,032,2021,6,0.196
Argentina,032,2022,6,-0.708
Argentina,032,2023,6,1.695
Argentina,032,2024,6,1.936
Argentina,032,2025,6,-0.246
Argentina,032,2020,7,-0.876
Argentina,032,2021,7,1.008
Argentina,032,2022,7,1.007
Argentina,032,2023,7,1.157
Argentina,032,2024,7,-0.738
Argentina,032,2025,7,0.841
Argentina,032,2020,8,1.086
Argentina,032,2021,8,1.315
Argentina,032,2022,8,0.687
Argentina,032,2023,8,1.741
Argentina,032,2024,8,0.089
Argentina,032,2025,8,1.06
Argentina,032,2020,9,1.152
Argentina,032,2021,9,2.032
Argentina,032,2022,9,0.339
Argentina,032,2023,9,0.724
Argentina,032,2024,9,2.09
Argentina,032,2025,9,1.569
Argentina,032,2020,10,1.309
Argentina,032,2021,10,1.351
Argentina,032,2022,10,0.419
Argentina,032,2023,10,0.904
Argentina,032,2024,10,2.586
Argentina,032,2025,10,1.172
Argentina,032,2020,11,1.694
Argentina,032,2021,11,0.679
Argentina,032,2022,11,1.902
Argentina,032,2023,11,0.574
Argentina,032,2024,11,1.113
Argentina,032,2025,11,0.954
Argentina,032,2020,12,0.667
Argentina,032,2021,12,1.615
Argentina,032,2022,12,1.837
Argentina,032,2023,12,0.617
Argentina,032,2024,12,-0.075
Argentina,032,2025,12,1.377
Armenia,051,2020,1,1.226
Armenia,051,2021,1,2.492
Armenia,051,2022,1,0.82
Armenia,051,2023,1,2.02
Armenia,051,2024,1,3.643
Armenia,051,2025,1,2.612
Armenia,051,2020,2,1.857
Armenia,051,2021,2,3.466
Armenia,051,2022,2,3.482
Armenia,051,2023,2,0.555
Armenia,051,2024,2,3.755
Armenia,051,2025,2,-0.776
Armenia,051,2020,3,4.045
Armenia,051,2021,3,1.145
Armenia,051,2022,3,-1.424
Armenia,051,2023,3,5.531
Armenia,051,2024,3,3.162
Armenia,051,2025,3,3.712
Armenia,051,2020,4,-0.341
Armenia,051,2021,4,3.693
Armenia,051,2022,4,2.864
Armenia,051,2023,4,1.871
Armenia,051,2024,4,4.504
Armenia,051,2025,4,1.445
Armenia,051,2020,5,1.101
Armenia,051,2021,5,2.897
Armenia,051,2022,5,-0.629
Armenia,051,2023,5,0.717
Armenia,051,2024,5,-0.275
Armenia,051,2025,5,1.388
Armenia,051,2020,6,2.532
Armenia,051,2021,6,3.985
Armenia,051,2022,6,2.98
Armenia,051,2023,6,1.87
Armenia,051,2024,6,3.138
Armenia,051,2025,6,0.998
Armenia,051,2020,7,1.938
Armenia,051,2021,7,2.239
Armenia,051,2022,7,1.585
Armenia,051,2023,7,1.108
Armenia,051,2024,7,1.273
Armenia,051,2025,7,2.256
Armenia,051,2020,8,-0.383
Armenia,051,2021,8,2.623
Armenia,051,2022,8,3.109
Armenia,051,2023,8,2.889
Armenia,051,2024,8,2.073
Armenia,051,2025,8,2.929
Armenia,051,2020,9,3.13
Armenia,051,2021,9,1.25
Armenia,051,2022,9,2.817
Armenia,051,2023,9,1.583
Armenia,051,2024,9,1.724
Armenia,051,2025,9,0.263
Armenia,051,2020,10,2.801
Armenia,051,2021,10,-0.127
Armenia,051,2022,10,2.469
Armenia,051,2023,10,2.021
Armenia,051,2024,10,0.565
Armenia,051,2025,10,1.587
Armenia,051,2020,11,1.072
Armenia,051,2021,11,1.512
Armenia,051,2022,11,2.054
Armenia,051,2023,11,3.637
Armenia,051,2024,11,0.287
Armenia,051,2025,11,2.901
Armenia,051,2020,12,0.532
Armenia,051,2021,12,1.27
Armenia,051,2022,12,2.273
Armenia,051,2023,12,4.218
Armenia,051,2024,12,1.607
Armenia,051,2025,12,1.987
Aruba,533,2020,1,1.312
Aruba,533,2020,2,1.934
Aruba,533,2020,3,1.614
Aruba,533,2020,4,1.813
Aruba,533,2020,5,1.526
Aruba,533,2020,7,1.522
Aruba,533,2020,8,1.716
Aruba,533,2020,9,1.704
"Ascension, Saint Helena and Tristan da Cunha",654,2020,1,1.667
"Ascension, Saint Helena and Tristan da Cunha",654,2021,1,1.834
"Ascension, Saint Helena and Tristan da Cunha",654,2022,1,1.916
"Ascension, Saint Helena and Tristan da Cunha",654,2023,1,1.636
"Ascension, Saint Helena and Tristan da Cunha",654,2024,1,2.511
"Ascension, Saint Helena and Tristan da Cunha",654,2025,1,1.356
"Ascension, Saint Helena and Tristan da Cunha",654,2020,2,1.999
"Ascension, Saint Helena and Tristan da Cunha",654,2021,2,1.385
"Ascension, Saint Helena and Tristan da Cunha",654,2022,2,1.744
"Ascension, Saint Helena and Tristan da Cunha",654,2023,2,1.987
